enterscene_,sceneinfo,appuin,appuinname,uv
1038,其他小程序返回,3506044594,中国移动10086+,6844
1036,App分享消息,3506020669,智行火车票,6822
1027,本地搜索,3506044594,中国移动10086+,6715
ALL,NULL,3505597506,快递助手云打印,6551
ALL,NULL,3508043624,有车以后,6487
1089,会话下拉,3505159217,微信发票助手,6485
ALL,NULL,3849022532,领取音乐相册,6467
1035,公众号自定义菜单,3507135269,腾讯乘车码,6405
ALL,NULL,3507002676,wifi密码查看器官方版,6356
ALL,NULL,3807026337,拍照识花君,6195
ALL,NULL,3507342283,云充吧微驿站,6144
1001,列表,3507801930,抽奖助手,5976
1038,其他小程序返回,3507000638,大众点评美食电影运动旅游门票,5952
1027,本地搜索,3507135269,腾讯乘车码,5933
1089,会话下拉,3506677093,邮证查违章,5874
ALL,NULL,3505480474,快相册,5690
1037,其他小程序,3506677093,邮证查违章,5644
1035,公众号自定义菜单,3507000621,铂涛旅行酒店预订,5520
1007,单聊,3508000875,小年糕+,5494
1024,小程序profile,3505078432,黑咔相机,5320
1024,小程序profile,3507801930,抽奖助手,5300
1058,公众号文章,3507135269,腾讯乘车码,5281
ALL,NULL,3505000855,华住会酒店预订汉庭全季桔子,5176
1035,公众号自定义菜单,3505058977,中国电信营业厅,5151
1044,群API,3505197487,群里有事,5151
1024,小程序profile,3508002787,酒店机票火车,4955
1037,其他小程序,3508002787,酒店机票火车,4922
1058,公众号文章,3508000875,小年糕+,4905
ALL,NULL,3507009314,忆年共享相册,4800
ALL,NULL,3507039171,壁纸精选,4763
1007,单聊,3508000880,快递100小助手,4658
1089,会话下拉,3505008241,安居客房产,4523
ALL,NULL,3505000902,汽车报价大全,4493
ALL,NULL,3508107293,腾讯相册,4479
1001,列表,3508145002,玩车教授,4472
ALL,NULL,3508012745,充值特惠,4441
1007,单聊,3505159217,微信发票助手,4400
1014,模版消息,3505247596,怪兽充电EnergyMonster,4347
1001,列表,3505000848,车来了精准实时公交,4313
1044,群API,3508000873,携程订酒店机票火车票汽车票门票,4239
1089,会话下拉,3506020669,智行火车票,4202
1089,会话下拉,3508043624,有车以后,4124
1001,列表,3508000880,快递100小助手,4117
ALL,NULL,3507000615,南航e行,3964
1027,本地搜索,3507000634,美团外卖,3957
1089,会话下拉,3843008221,节日祝福贺卡,3952
1037,其他小程序,3507648055,联通微服务,3926
1001,列表,3505701833,58到家家庭服务,3919
ALL,NULL,3507027828,草料二维码,3911
1014,模版消息,3505003378,小打卡,3903
1089,会话下拉,3508231627,风火递,3853
1089,会话下拉,3505597506,快递助手云打印,3795
1035,公众号自定义菜单,3506080265,闪萌表情,3781
1043,公众号模板消息,3507000638,大众点评美食电影运动旅游门票,3762
1089,会话下拉,3507041826,去哪儿机票火车票酒店,3737
1092,城市服务页面,3506677093,邮证查违章,3735
ALL,NULL,3508000937,腾讯翻译君,3699
1007,单聊,3505089957,小小贺卡,3670
1038,其他小程序返回,3505000848,车来了精准实时公交,3659
1089,会话下拉,3807026337,拍照识花君,3630
1038,其他小程序返回,3507801930,抽奖助手,3608
1007,单聊,3508231627,风火递,3597
1007,单聊,3505003378,小打卡,3551
ALL,NULL,3507765505,报名工具,3544
ALL,NULL,3859010399,真心感恩祝福,3506
1089,会话下拉,3508185139,来电,3496
1007,单聊,3507000638,大众点评美食电影运动旅游门票,3490
